Price,Open,High,Low,Close,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2015-01-02,24.746225733732643,24.75733433246641,23.848705532925308,24.2885799407959,212818400
2015-01-05,24.057535347435078,24.137512513705367,23.417719712206985,23.604331970214844,257142000
2015-01-06,23.668763854504675,23.86648475935941,23.24444035862307,23.60655975341797,263188400
2015-01-07,23.81538275875591,24.037541186337343,23.704303544965192,23.937570571899414,160423600
2015-01-08,24.2663687337548,24.915071014189344,24.148623329110514,24.857309341430664,237458000
2015-01-09,25.030586292520212,25.159438570127115,24.48407683690557,24.883962631225586,214798000
2015-01-12,25.015041562276377,25.02170604470176,24.170840454682892,24.270811080932617,198603200
2015-01-13,24.755112908008694,25.059470554809714,24.195274433127043,24.48630142211914,268367600
2015-01-14,24.224160638576148,24.54628975362334,24.104194857093386,24.393001556396484,195826400
2015-01-15,24.43742857263256,24.450757536747712,23.695420191359318,23.73096466064453,240056000
2015-01-16,23.777618630288504,23.899806455751897,23.371068260038804,23.546573638916016,314053200
2015-01-20,23.957564225054288,24.208604335161315,23.659872743076072,24.153064727783203,199599600
2015-01-21,24.20415364997885,24.672907944655517,24.05308589110295,24.33745002746582,194303600
2015-01-22,24.495185113053786,24.986154962727397,24.375219376333433,24.970603942871094,215185600
2015-01-23,24.948389007255805,25.27051800940202,24.777326090029074,25.099456787109375,185859200
2015-01-26,25.268295127426615,25.40603394116577,25.05946739070896,25.126113891601562,222460000
2015-01-27,24.975043782747537,24.988374437627527,24.22192703698206,24.24636459350586,382274800
2015-01-28,26.132493867924392,26.241352712133768,25.61708641052246,25.61708641052246,585908400
2015-01-29,25.841471210548402,26.47906658146117,25.672630311520884,26.414640426635742,337745600
2015-01-30,26.303554011345867,26.659007100363915,25.959207824992557,26.028078079223633,334982000
2015-02-02,26.225805607091413,26.474621985447392,25.788153190960248,26.354656219482422,250956400
2015-02-03,26.325774330486077,26.456846992487105,26.128053460560718,26.359098434448242,207662800
2015-02-04,26.325770949503564,26.772309817405812,26.283560310243587,26.56125831604004,280598800
2015-02-05,26.768682662651635,26.81552154981854,26.596946315658972,26.75084114074707,168984800
2015-02-06,26.768685106844938,26.819983953766112,26.418519895846156,26.525577545166016,174826400
2015-02-09,26.440823819789642,26.72853773231023,26.414058983023832,26.70177459716797,155559200
2015-02-10,26.802139328739504,27.243749769386245,26.79991020192898,27.214754104614258,248034000
2015-02-11,27.38202628395159,27.86155222597235,27.321807538499332,27.852630615234375,294247200
2015-02-12,28.115814122005208,28.432525369439077,28.006527360742815,28.205028533935547,297898000
2015-02-13,28.387919575872782,28.387919575872782,28.024372817680565,28.343313217163086,217088800
2015-02-17,28.434764356996737,28.74478492883244,28.307634328935983,28.510597229003906,252609600
2015-02-18,28.465976260339524,28.72246702927705,28.425829864317798,28.70908546447754,179566800
2015-02-19,28.65555934401779,28.77822937525331,28.622105427883923,28.648868560791016,149449600
2015-02-20,28.686780798766748,28.883052825927734,28.55965252898941,28.883052825927734,195793600
2015-02-23,28.999040829173126,29.663684844970703,28.918748012259847,29.663684844970703,283896400
2015-02-24,29.65030137339149,29.797505428827776,29.255528098629526,29.47856330871582,276912400
2015-02-25,29.342513260248232,29.35143657494631,28.581962336489088,28.72470474243164,298846800
2015-02-26,28.72470263962541,29.188616275789528,28.238487524843507,29.0882511138916,365150000
2015-02-27,28.994576692159352,29.121708392752836,28.602035955957554,28.651103973388672,248059200
2015-03-02,28.827297163536542,29.057023127860493,28.61541442209414,28.791610717773438,192386800
2015-03-03,28.762624428524774,28.88752361137346,28.568581466440758,28.851837158203125,151265200
2015-03-04,28.79385172413756,28.896446031850218,28.619884503887594,28.668949127197266,126665200
2015-03-05,28.67786217029503,28.715777740280956,28.048903067660213,28.193876266479492,226068400
2015-03-06,28.637717980030118,28.854062393731382,28.160424495428032,28.236255645751953,291368400
2015-03-09,28.539587810298716,28.898676368147214,27.892785303343523,28.356698989868164,354114000
2015-03-10,28.19387439867593,28.374532327389144,27.611752515463166,27.77010726928711,275426400
2015-03-11,27.82364333428763,27.82810328991539,27.23483049725104,27.263824462890625,275756000
2015-03-12,27.279432073886337,27.857094069691744,27.127768084796827,27.75672721862793,193450800
2015-03-13,27.74557818039915,27.96861337203962,27.33965419967843,27.564918518066406,207309200
2015-03-16,27.62959660422218,27.868244171142578,27.404332304778652,27.868244171142578,143497200
2015-03-17,28.080130660699805,28.396840220975246,28.024371863399615,28.33439064025879,204092400
2015-03-18,28.32547163340424,28.80722850316116,28.184960063870278,28.65333366394043,261083600
2015-03-19,28.715775134516697,28.827292707854625,28.414678026828913,28.436981201171875,183238000
2015-03-20,28.604261958348598,28.637715874194154,27.915084065955917,28.080129623413086,274780400
2015-03-23,28.352236379049575,28.515051128701085,28.218413892358317,28.3723087310791,150838800
2015-03-24,28.376767788779087,28.557424045367036,28.227332919212298,28.256328582763672,131369200
2015-03-25,28.22287369593157,28.285323278086906,27.518081665039062,27.518081665039062,206620800
2015-03-26,27.379799251170326,27.85263274507692,27.344112805489548,27.709890365600586,190291600
2015-03-27,27.78349830630142,27.812492273380254,27.41326071236719,27.489091873168945,158184800
2015-03-30,27.66751967746109,28.191652103299248,27.65636723582943,28.184961318969727,188398800
2015-03-31,28.122505355776788,28.211719769136778,27.73665544280817,27.752267837524414,168362400
2015-04-01,27.839248119731284,27.906159347218722,27.4556273789328,27.71211814880371,162485600
2015-04-02,27.886090919277912,28.00429930359269,27.69874216714662,27.95077133178711,128880400
2015-04-06,27.761191272731303,28.439218476535938,27.729966481247576,28.403532028198242,148776000
2015-04-07,28.468218312182895,28.575274276033092,28.09798069323383,28.104671478271484,140049200
2015-04-08,28.06898054263557,28.191650587493417,27.87271017248661,28.013221740722656,149316800
2015-04-09,28.06897639167934,28.23179281790146,27.80356569092795,28.227331161499023,129936000
2015-04-10,28.091283676912617,28.372308514546486,27.937390540989917,28.347774505615234,160752000
2015-04-13,28.631029764719884,28.67563953079171,28.23848900731811,28.292016983032227,145460400
2015-04-14,28.32547364766116,28.390154067271926,28.082366068566923,28.169349670410156,102098400
2015-04-15,28.19388148911807,28.354465409679758,28.1046670655014,28.276403427124023,115881600
2015-04-16,28.16488434954854,28.347773142664174,28.126968774522698,28.140350341796875,113476000
2015-04-17,28.002069661598362,28.133659611037796,27.75896041204498,27.823640823364258,207828000
2015-04-20,28.006532146964158,28.575270929671763,27.91731771978738,28.459293365478516,188217200
2015-04-21,28.57081715762612,28.59311864088921,28.251874977408363,28.305404663085938,129740400
2015-04-22,28.323245533713486,28.742551185394703,28.173812326646786,28.686792373657227,150618000
2015-04-23,28.615419475695823,29.08825305419757,28.579733023630347,28.920976638793945,183083600
2015-04-24,29.10386479937753,29.13508959159763,28.82283826614954,29.057025909423828,178103600
2015-04-27,29.509789721315794,29.692680237181143,29.25106804663929,29.585620880126953,387816800
2015-04-28,29.98931763900977,30.007157462025948,28.898675532596673,29.119478225708008,475696000
2015-04-29,29.030260466474736,29.349199147137707,28.615414886672202,28.691246032714844,253544400
2015-04-30,28.69125338831198,28.69125338831198,27.785730850514806,27.912860870361328,332781600
2015-05-01,28.124741192112108,29.023574567358022,27.94631403524375,28.760391235351562,234050400
2015-05-04,28.88306449844051,29.121713846388108,28.606499566876973,28.704635620117188,203953200
2015-05-05,28.581959582418435,28.648870823217013,28.053367246279116,28.057828903198242,197085600
2015-05-06,28.227331540907524,28.26970876918357,27.513619653025216,27.881628036499023,288564000
2015-05-07,27.94433980407834,28.237737504672765,27.776364686526524,28.05408477783203,175763600
2015-05-08,28.372119850916896,28.58264923095703,28.244458818255232,28.58264923095703,222201600
2015-05-11,28.531131153120356,28.569205099876047,28.136949097863642,28.291486740112305,168143200
2015-05-12,28.130234250462387,28.416911527049663,27.955540391837726,28.190706253051758,192640000
2015-05-13,28.253420196141793,28.486345939426375,28.190709747705863,28.222064971923828,138776800
2015-05-14,28.53561813214859,28.880525588989258,28.47962641777774,28.880525588989258,180814000
2015-05-15,28.907400694140478,29.001466353639586,28.714789081605353,28.8402099609375,152832000
2015-05-18,28.752858106934585,29.276939584696883,28.748377814165263,29.15823745727539,203531600
2015-05-19,29.27022315197837,29.312777392972247,29.035057316328558,29.131364822387695,178532800
2015-05-20,29.11568241257345,29.335168907717343,28.96786351244182,29.129119873046875,145819600
2015-05-21,29.131367511630593,29.48075522315246,29.077614241603133,29.427001953125,158921600
2015-05-22,29.474036729754335,29.780870198833405,29.429240628971474,29.68456268310547,182384000
2015-05-26,29.698002208914215,29.767431377512352,28.91859520135844,29.03057861328125,282790400
2015-05-27,29.191837389314056,29.621853316200642,29.12688850876601,29.572580337524414,183332800
2015-05-28,29.532266740502852,29.552422935284834,29.36205317768391,29.51434898376465,122933200
2015-05-29,29.39116785708155,29.440440835950447,29.093291545724245,29.17840003967285,203538000
2015-06-01,29.17839553147613,29.426998825554183,29.12688412242206,29.23662567138672,128451200
2015-06-02,29.08432955252149,29.263503680744094,28.96338898101202,29.106727600097656,134670400
2015-06-03,29.26351452941397,29.32622498492078,29.093297506641047,29.14257049560547,123934000
2015-06-04,29.021625963884272,29.245592822610842,28.87156857863304,28.972352981567383,153800400
2015-06-05,29.003700938513422,29.046255177804035,28.748378920231946,28.81332778930664,142507200
2015-06-08,28.869320578651514,28.938753160748476,28.405711056837685,28.62295913696289,210699200
2015-06-09,28.37659874556621,28.685674087079356,28.134715850173816,28.53785514831543,224301600
2015-06-10,28.64983372872067,28.9678661866452,28.63415612047738,28.864843368530273,156349200
2015-06-11,28.932033944612545,29.1560007783716,28.77525784447374,28.799894332885742,141563600
