date,open,high,low,close,volume,fwd_ret,label,rsi_14,macd,macd_signal,bb_upper,bb_lower,log_ret,vol_20,roc_10
2015-02-20,28.686780798766748,28.883052825927734,28.55965252898941,28.883052825927734,195793600,0.0270273375791567,1,78.73722947195226,1.253891888799803,1.1516022660131062,29.539270117171167,24.27595758210862,0.008141065095990996,0.01782107930652339,7.970634171696621
2015-02-23,28.99904082917313,29.663684844970703,28.918748012259847,29.663684844970703,283896400,-0.0062406790397878,-1,82.37924358315375,1.3077687894790628,1.1828355707062976,29.889475921463188,24.382174583602733,0.026668549461820845,0.018328190139682586,11.83049565824278
2015-02-24,29.65030137339149,29.797505428827776,29.25552809862953,29.47856330871582,276912400,-0.025573110819186,-1,78.92668617114258,1.3203091584640916,1.2103302882578564,30.12527928687529,24.581616159902055,-0.006260233474979948,0.01855325393733318,10.399266541042415
2015-02-25,29.342513260248232,29.35143657494631,28.581962336489088,28.72470474243164,298846800,0.0126562265729031,1,66.67242880029607,1.2549511099771102,1.2192544526017073,30.012066141419083,25.14266332025084,-0.025905786778342765,0.01744284722332164,5.548279554586806
2015-02-26,28.72470263962541,29.188616275789528,28.238487524843507,29.0882511138916,365150000,-0.0150283060604547,-1,69.15924004856755,1.2184440747265413,1.2190923770266742,30.095128253218025,25.406717678788812,0.012576805945649028,0.013656929428748412,4.436279343687512
2015-02-27,28.994576692159352,29.121708392752836,28.60203595595755,28.651103973388672,248059200,0.0049040603990433,0,63.065505263985024,1.1410841575559019,1.2034907331325198,30.154081060120582,25.571411226561544,-0.015142375340179814,0.013199241516777127,1.5815457832861923
2015-03-02,28.827297163536542,29.057023127860493,28.61541442209414,28.79161071777344,192386800,0.0020918051796423,0,64.15863593194784,1.078679242999275,1.178528435105871,30.16268156681731,25.839163983719803,0.00489207466471564,0.012434917297674066,1.5816693594554367
2015-03-03,28.762624428524777,28.88752361137346,28.56858146644076,28.851837158203125,151265200,-0.006338869514722,-1,64.64170138964668,1.0222982511387642,1.1472823983124496,30.178490834536397,26.073072809872784,0.0020896204014104747,0.012324889767466549,1.1968880429206796
2015-03-04,28.79385172413756,28.896446031850218,28.619884503887594,28.668949127197266,126665200,-0.0165709897007382,-1,61.91281908620047,0.9518856282488528,1.1082030442997304,30.13733139522671,26.345217318457372,-0.006359045455044399,0.012531071333105442,-0.13980360792033977
2015-03-05,28.67786217029503,28.715777740280956,28.048903067660213,28.193876266479492,226068400,0.0015031412804646,0,55.373485289138884,0.847973793753642,1.0561571941905128,30.05620742519594,26.589603083532086,-0.01670982444016511,0.013336277420641496,-1.5881684588906528
2015-03-06,28.63771798003012,28.854062393731382,28.160424495428032,28.236255645751953,291368400,0.0042655565110074,0,55.82175606747044,0.7602785600169781,0.996981467355806,29.974989773559525,26.81936218566899,0.0015020126944178536,0.01330380591950774,-2.239365707198252
2015-03-09,28.539587810298716,28.898676368147218,27.892785303343523,28.356698989868164,354114000,-0.0206861779218604,-1,57.1394604493568,0.6925153409788152,0.9360882420804079,29.81376708847498,27.16369701522375,0.00425648481291141,0.01304376621669829,-4.406013150197456
2015-03-10,28.19387439867593,28.374532327389144,27.611752515463166,27.77010726928711,275426400,-0.0182312153671951,-1,49.40979957306632,0.5847389456065066,0.8658183827856276,29.641669230036698,27.44262814087395,-0.02090313411202427,0.014089226114754813,-5.79558787019847
2015-03-11,27.82364333428763,27.82810328991539,27.23483049725104,27.263824462890625,275756000,0.0180790026875432,1,43.89103282088566,0.45324782569507605,0.7833042713675173,29.632420496056753,27.45678391068153,-0.018399451881954132,0.014188274899582087,-5.085797374212966
2015-03-12,27.279432073886337,27.857094069691744,27.127768084796827,27.75672721862793,193450800,-0.0069103500225631,-1,49.772955626596385,0.3843823780660749,0.7035198927072289,29.640552747066707,27.43906132001093,0.017917520900599282,0.013781522707529805,-4.577531629695604
2015-03-13,27.74557818039915,27.96861337203962,27.33965419967843,27.564918518066406,207309200,0.0110040467878533,1,47.678360451090235,0.31074656260749123,0.6249652266872814,29.680494976185095,27.335108089305628,-0.0069343370610401855,0.013519830027296013,-3.791077147781536
2015-03-16,27.62959660422218,27.868244171142575,27.404332304778652,27.868244171142575,143497200,0.0167267972195717,1,51.17743189126937,0.2737103312245672,0.5547142475947385,29.687936966041804,27.280159194846867,0.010943942787844385,0.013728271572267223,-3.2070680438203483
2015-03-17,28.080130660699805,28.39684022097525,28.024371863399615,28.33439064025879,204092400,0.0112563925489357,1,56.04263582064797,0.2787596080908088,0.4995233196939526,29.680798392231182,27.269677109782975,0.01658844500836132,0.014204807121022942,-1.7934612451436773
2015-03-18,28.32547163340424,28.80722850316116,28.18496006387028,28.65333366394043,261083600,-0.0075506907959135,-1,59.04950785538502,0.30498159489690124,0.4606149747345423,29.67609132729919,27.268808994661256,0.011193510803400919,0.014350222700746568,-0.05446820944693112
2015-03-19,28.715775134516697,28.827292707854625,28.414678026828913,28.436981201171875,183238000,-0.0125488558449403,-1,56.239187924248526,0.30479142690422023,0.42945026516847795,29.662826239675468,27.260885346323064,-0.007579341574892151,0.014442481519334758,0.8622614797434478
2015-03-20,28.6042619583486,28.637715874194154,27.915084065955917,28.08012962341309,274780400,0.0104051908443612,1,51.85545216486997,0.27270223578498687,0.39810065929177973,29.61734533939041,27.226073926356662,-0.012628257704109469,0.014544541005008637,-0.552927499657173
2015-03-23,28.352236379049575,28.515051128701085,28.218413892358317,28.3723087310791,150838800,-0.0040877938208949,0,54.951661563908644,0.26776114892948755,0.37203275721932133,29.408262049659818,27.306019604698093,0.010351429456190164,0.013290192992391151,0.05504780798538946
2015-03-24,28.376767788779087,28.557424045367036,28.227332919212294,28.256328582763672,131369200,-0.026126781317759,-1,53.48136520391166,0.2515865402861479,0.3479435138326867,29.212779979837542,27.379278201925153,-0.004096171689182526,0.013264399391247026,1.7508802136112323
2015-03-25,28.22287369593157,28.285323278086903,27.518081665039062,27.518081665039062,206620800,0.0069702787751082,1,45.192532109891246,0.17715555101449,0.31378592126904736,29.18972135209204,27.281674521931397,-0.026474149435864458,0.013318545438468296,0.9325808361718013
2015-03-26,27.37979925117033,27.85263274507692,27.344112805489548,27.709890365600582,190291600,-0.0079682196327178,-1,47.47048955802428,0.13212278566394176,0.2774532941480263,29.061814664031644,27.27174513516269,0.006946098678326074,0.01304771131812626,-0.16874054588076376
2015-03-27,27.78349830630142,27.812492273380258,27.41326071236719,27.489091873168945,158184800,0.0253143846661589,1,45.14442135827248,0.07772147682592845,0.23750693068360673,29.021106145833855,27.19625244333851,-0.008000135549860232,0.012776303449548481,-0.275083870999884
2015-03-30,27.66751967746109,28.191652103299248,27.65636723582943,28.184961318969727,188398800,-0.0153519274533858,-1,52.96650310347422,0.089724606867712,0.2079504659204278,28.936674994777064,27.22001865451493,0.024999282309877913,0.014077811366352866,1.136480453817435
2015-03-31,28.122505355776788,28.211719769136774,27.73665544280817,27.752267837524418,168362400,-0.0014467173982235,0,48.34978492650742,0.06358940702028093,0.17907825414039844,28.814724639106473,27.23201207811765,-0.01547098840687422,0.01441432165720586,-2.0544744022384758
2015-04-01,27.839248119731284,27.90615934721872,27.4556273789328,27.71211814880371,162485600,0.0086118708682576,1,47.9322942387293,0.03918562106499479,0.15109972752531772,28.71924042415264,27.231813195232125,-0.0014477649042574647,0.014376912346682699,-3.284837730142434
2015-04-02,27.886090919277912,28.00429930359269,27.69874216714662,27.95077133178711,128880400,0.0161985045434587,1,50.65954533695893,0.03865714671049503,0.12861121136235318,28.700328963302074,27.226414162613455,0.008575000240500064,0.01409627003294829,-1.709780183575636
2015-04-06,27.761191272731303,28.439218476535935,27.729966481247576,28.40353202819824,148776000,-0.0105219502148554,-1,55.429262980551655,0.07392022495887929,0.11767301408165841,28.724517886223644,27.21895287793651,0.016068708560055267,0.014569875978568346,1.1517126492019383
2015-04-07,28.468218312182895,28.575274276033092,28.09798069323383,28.104671478271484,140049200,-0.0032538981151062,0,51.865163403033435,0.07686486946179016,0.10951138515768477,28.69394100507097,27.224327007929517,-0.01057769732336844,0.014734267073499051,-0.9433044569772591
2015-04-08,28.06898054263557,28.191650587493417,27.87271017248661,28.013221740722656,149316800,0.0076431558911025,1,50.788998243531275,0.07100083843354454,0.10180927581285673,28.701213804074712,27.241365656069334,-0.003259203553608536,0.013952440794655248,-0.8603624541275703
2015-04-09,28.06897639167934,28.23179281790146,27.80356569092795,28.227331161499023,129936000,0.004266905129185,0,53.23556390338907,0.08267733955957368,0.09798288856220012,28.68015843131838,27.358771698686507,0.007614094959336626,0.013301496371758615,2.577394402317812
2015-04-10,28.091283676912617,28.37230851454649,27.937390540989917,28.34777450561523,160752000,-0.0019669100504506,0,54.60283647082339,0.10049141957858865,0.09848459476547784,28.712925207522037,27.385109651181576,0.004257827702013994,0.012766874458768094,2.3020088914048036
2015-04-13,28.631029764719884,28.67563953079171,28.23848900731811,28.292016983032227,145460400,-0.0043357570687038,0,53.81836839810942,0.1088552249762813,0.10055872080763854,28.718164752660034,27.45257995254016,-0.001968846958256165,0.01265111743651634,2.920886268516516
2015-04-14,28.32547364766116,28.39015406727193,28.082366068566923,28.169349670410156,102098400,0.0038003630884784,0,52.04677537283923,0.10438212193081853,0.10132340103227455,28.726128102952003,27.47472715217495,-0.004345183721034207,0.012498829381898512,-0.055389994624768145
2015-04-15,28.19388148911807,28.35446540967976,28.1046670655014,28.276403427124023,115881600,-0.0048115413856573,0,53.48582734737416,0.10822791498712192,0.10270430382324403,28.719390967088103,27.475665566725375,0.0037931599525964366,0.011949389380843008,1.8886225539049866
2015-04-16,28.16488434954854,28.347773142664177,28.126968774522695,28.140350341796875,113476000,-0.0112546402083065,-1,51.37570506194961,0.0991543965864814,0.10199432237589151,28.639914766171113,27.503843435428006,-0.004823154115972894,0.011686317820002252,1.5452885654345054
2015-04-17,28.00206966159836,28.133659611037796,27.75896041204498,27.823640823364254,207828000,0.0228457715562691,1,46.751841290041035,0.06565097304621048,0.09472565250995531,28.593088148323698,27.48933601549466,-0.011318452915894284,0.011827794107210169,-0.4548372097276454
2015-04-20,28.00653214696416,28.575270929671763,27.91731771978738,28.459293365478516,188217200,-0.0054073268937607,-1,55.423406061271365,0.0893610180987423,0.09365272562771271,28.641363023763446,27.47897751426146,0.022588714661852638,0.012614927345056197,0.19631832134439717
