date,open,high,low,close,volume,fwd_ret,label
2015-01-02,24.746225733732643,24.75733433246641,23.848705532925308,24.2885799407959,212818400,-0.02817159225648136,-1
2015-01-05,24.05753534743508,24.137512513705367,23.417719712206985,23.604331970214844,257142000,9.438026909358577e-05,0
2015-01-06,23.668763854504675,23.86648475935941,23.24444035862307,23.60655975341797,263188400,0.014021984649140729,1
2015-01-07,23.81538275875591,24.037541186337343,23.704303544965192,23.937570571899418,160423600,0.03842239406746395,1
2015-01-08,24.2663687337548,24.915071014189344,24.148623329110514,24.857309341430664,237458000,0.0010722516032937168,0
2015-01-09,25.030586292520212,25.159438570127115,24.48407683690557,24.883962631225582,214798000,-0.024640430440268868,-1
2015-01-12,25.015041562276377,25.02170604470176,24.170840454682892,24.270811080932617,198603200,0.008878580137596348,1
2015-01-13,24.755112908008694,25.05947055480971,24.195274433127043,24.48630142211914,268367600,-0.0038102882143881134,0
2015-01-14,24.224160638576148,24.54628975362334,24.104194857093383,24.393001556396484,195826400,-0.027140444123751162,-1
2015-01-15,24.43742857263256,24.450757536747712,23.69542019135932,23.73096466064453,240056000,-0.007770060103553633,-1
2015-01-16,23.777618630288504,23.899806455751897,23.371068260038804,23.546573638916016,314053200,0.025757084583415857,1
2015-01-20,23.957564225054288,24.208604335161315,23.659872743076072,24.153064727783203,199599600,0.007634033269099838,1
2015-01-21,24.20415364997885,24.672907944655517,24.05308589110295,24.33745002746582,194303600,0.026015622618258627,1
2015-01-22,24.495185113053783,24.986154962727397,24.375219376333433,24.970603942871097,215185600,0.005160181328936808,1
2015-01-23,24.948389007255805,25.27051800940202,24.77732609002907,25.099456787109375,185859200,0.0010620590205709934,0
2015-01-26,25.268295127426615,25.40603394116577,25.05946739070896,25.12611389160156,222460000,-0.03501334515520749,-1
2015-01-27,24.975043782747537,24.988374437627527,24.22192703698206,24.24636459350586,382274800,0.0565330860933988,1
2015-01-28,26.132493867924392,26.241352712133768,25.61708641052246,25.61708641052246,585908400,0.03113367396011446,1
2015-01-29,25.8414712105484,26.47906658146117,25.672630311520884,26.414640426635746,337745600,-0.014634397484446393,-1
2015-01-30,26.303554011345867,26.659007100363915,25.959207824992557,26.028078079223633,334982000,0.012547147709668138,1
2015-02-02,26.225805607091413,26.474621985447392,25.788153190960248,26.354656219482425,250956400,0.00016855522336611806,0
2015-02-03,26.325774330486077,26.456846992487105,26.12805346056072,26.35909843444824,207662800,0.007669453570066098,1
2015-02-04,26.325770949503564,26.772309817405812,26.283560310243587,26.56125831604004,280598800,0.007137569404704891,1
2015-02-05,26.768682662651635,26.81552154981854,26.596946315658972,26.75084114074707,168984800,-0.008420804205589327,-1
2015-02-06,26.768685106844934,26.819983953766112,26.418519895846156,26.525577545166016,174826400,0.00664253404857762,1
2015-02-09,26.44082381978964,26.72853773231023,26.414058983023832,26.70177459716797,155559200,0.019211438759605626,1
2015-02-10,26.802139328739504,27.243749769386245,26.79991020192898,27.214754104614254,248034000,0.023438628479541146,1
2015-02-11,27.38202628395159,27.86155222597235,27.321807538499332,27.852630615234375,294247200,0.012652231078971177,1
2015-02-12,28.115814122005208,28.432525369439077,28.006527360742815,28.205028533935547,297898000,0.004902837912791336,0
2015-02-13,28.387919575872782,28.387919575872782,28.024372817680565,28.34331321716309,217088800,0.005902062703788458,1
2015-02-17,28.434764356996737,28.74478492883244,28.307634328935983,28.510597229003903,252609600,0.0069619108249234785,1
2015-02-18,28.465976260339524,28.72246702927705,28.4258298643178,28.70908546447754,179566800,-0.0020974859600119133,0
2015-02-19,28.65555934401779,28.77822937525331,28.622105427883923,28.648868560791016,149449600,0.008174293677245759,1
2015-02-20,28.686780798766748,28.883052825927734,28.55965252898941,28.883052825927734,195793600,0.027027337579156763,1
2015-02-23,28.99904082917313,29.663684844970703,28.918748012259847,29.663684844970703,283896400,-0.006240679039787866,-1
2015-02-24,29.65030137339149,29.797505428827776,29.25552809862953,29.47856330871582,276912400,-0.025573110819186007,-1
2015-02-25,29.342513260248232,29.35143657494631,28.581962336489088,28.72470474243164,298846800,0.012656226572903106,1
2015-02-26,28.72470263962541,29.188616275789528,28.238487524843507,29.0882511138916,365150000,-0.015028306060454799,-1
2015-02-27,28.994576692159352,29.121708392752836,28.60203595595755,28.651103973388672,248059200,0.004904060399043342,0
2015-03-02,28.827297163536542,29.057023127860493,28.61541442209414,28.79161071777344,192386800,0.0020918051796423587,0
2015-03-03,28.762624428524777,28.88752361137346,28.56858146644076,28.851837158203125,151265200,-0.0063388695147220675,-1
2015-03-04,28.79385172413756,28.896446031850218,28.619884503887594,28.668949127197266,126665200,-0.016570989700738226,-1
2015-03-05,28.67786217029503,28.715777740280956,28.048903067660213,28.193876266479492,226068400,0.0015031412804646926,0
2015-03-06,28.63771798003012,28.854062393731382,28.160424495428032,28.236255645751953,291368400,0.004265556511007462,0
2015-03-09,28.539587810298716,28.898676368147218,27.892785303343523,28.356698989868164,354114000,-0.02068617792186045,-1
2015-03-10,28.19387439867593,28.374532327389144,27.611752515463166,27.77010726928711,275426400,-0.018231215367195186,-1
2015-03-11,27.82364333428763,27.82810328991539,27.23483049725104,27.263824462890625,275756000,0.018079002687543255,1
2015-03-12,27.279432073886337,27.857094069691744,27.127768084796827,27.75672721862793,193450800,-0.006910350022563128,-1
2015-03-13,27.74557818039915,27.96861337203962,27.33965419967843,27.564918518066406,207309200,0.011004046787853383,1
2015-03-16,27.62959660422218,27.868244171142575,27.404332304778652,27.868244171142575,143497200,0.01672679721957171,1
2015-03-17,28.080130660699805,28.39684022097525,28.024371863399615,28.33439064025879,204092400,0.011256392548935734,1
2015-03-18,28.32547163340424,28.80722850316116,28.18496006387028,28.65333366394043,261083600,-0.007550690795913528,-1
2015-03-19,28.715775134516697,28.827292707854625,28.414678026828913,28.436981201171875,183238000,-0.012548855844940365,-1
2015-03-20,28.6042619583486,28.637715874194154,27.915084065955917,28.08012962341309,274780400,0.0104051908443612,1
2015-03-23,28.352236379049575,28.515051128701085,28.218413892358317,28.3723087310791,150838800,-0.004087793820894969,0
2015-03-24,28.376767788779087,28.557424045367036,28.227332919212294,28.256328582763672,131369200,-0.02612678131775903,-1
2015-03-25,28.22287369593157,28.285323278086903,27.518081665039062,27.518081665039062,206620800,0.006970278775108252,1
2015-03-26,27.37979925117033,27.85263274507692,27.344112805489548,27.709890365600582,190291600,-0.007968219632717877,-1
2015-03-27,27.78349830630142,27.812492273380258,27.41326071236719,27.489091873168945,158184800,0.025314384666158984,1
2015-03-30,27.66751967746109,28.191652103299248,27.65636723582943,28.184961318969727,188398800,-0.015351927453385872,-1
2015-03-31,28.122505355776788,28.211719769136774,27.73665544280817,27.752267837524418,168362400,-0.0014467173982235515,0
2015-04-01,27.839248119731284,27.90615934721872,27.4556273789328,27.71211814880371,162485600,0.008611870868257654,1
2015-04-02,27.886090919277912,28.00429930359269,27.69874216714662,27.95077133178711,128880400,0.016198504543458725,1
2015-04-06,27.761191272731303,28.439218476535935,27.729966481247576,28.40353202819824,148776000,-0.010521950214855469,-1
2015-04-07,28.468218312182895,28.575274276033092,28.09798069323383,28.104671478271484,140049200,-0.003253898115106235,0
2015-04-08,28.06898054263557,28.191650587493417,27.87271017248661,28.013221740722656,149316800,0.007643155891102538,1
2015-04-09,28.06897639167934,28.23179281790146,27.80356569092795,28.227331161499023,129936000,0.004266905129185039,0
2015-04-10,28.091283676912617,28.37230851454649,27.937390540989917,28.34777450561523,160752000,-0.0019669100504506876,0
2015-04-13,28.631029764719884,28.67563953079171,28.23848900731811,28.292016983032227,145460400,-0.004335757068703816,0
2015-04-14,28.32547364766116,28.39015406727193,28.082366068566923,28.169349670410156,102098400,0.00380036308847842,0
2015-04-15,28.19388148911807,28.35446540967976,28.1046670655014,28.276403427124023,115881600,-0.004811541385657314,0
2015-04-16,28.16488434954854,28.347773142664177,28.126968774522695,28.140350341796875,113476000,-0.011254640208306577,-1
2015-04-17,28.00206966159836,28.133659611037796,27.75896041204498,27.823640823364254,207828000,0.0228457715562691,1
2015-04-20,28.00653214696416,28.575270929671763,27.91731771978738,28.459293365478516,188217200,-0.005407326893760778,-1
2015-04-21,28.57081715762612,28.59311864088921,28.251874977408363,28.305404663085938,129740400,0.013474024311288968,1
2015-04-22,28.32324553371349,28.742551185394703,28.173812326646782,28.686792373657227,150618000,0.00816348729709393,1
2015-04-23,28.615419475695823,29.08825305419757,28.579733023630347,28.920976638793945,183083600,0.004704172764601333,0
2015-04-24,29.10386479937753,29.13508959159763,28.82283826614954,29.057025909423828,178103600,0.01819164054679434,1
2015-04-27,29.50978972131579,29.692680237181143,29.25106804663929,29.585620880126953,387816800,-0.015755716478205062,-1
2015-04-28,29.98931763900977,30.007157462025948,28.898675532596673,29.119478225708008,475696000,-0.014706039362171741,-1
2015-04-29,29.030260466474736,29.349199147137707,28.6154148866722,28.691246032714844,253544400,-0.02712970923137925,-1
2015-04-30,28.69125338831198,28.69125338831198,27.78573085051481,27.912860870361328,332781600,0.030363436013474354,1
2015-05-01,28.124741192112108,29.023574567358025,27.94631403524375,28.76039123535156,234050400,-0.0019386250617424716,0
2015-05-04,28.88306449844051,29.121713846388108,28.606499566876973,28.704635620117188,203953200,-0.02253317984868075,-1
2015-05-05,28.581959582418435,28.648870823217013,28.053367246279116,28.05782890319824,197085600,-0.0062799180687543865,-1
2015-05-06,28.227331540907524,28.26970876918357,27.513619653025216,27.881628036499023,288564000,0.006185318199756873,1
2015-05-07,27.94433980407834,28.237737504672765,27.776364686526524,28.05408477783203,175763600,0.018840908812775226,1
2015-05-08,28.372119850916896,28.58264923095703,28.244458818255232,28.58264923095703,222201600,-0.010186686632580488,-1
2015-05-11,28.531131153120356,28.569205099876047,28.13694909786364,28.291486740112305,168143200,-0.003562219546336287,0
2015-05-12,28.130234250462387,28.416911527049663,27.95554039183773,28.19070625305176,192640000,0.0011123779088959562,0
2015-05-13,28.253420196141793,28.486345939426375,28.190709747705863,28.222064971923828,138776800,0.023331411706424943,1
2015-05-14,28.53561813214859,28.880525588989254,28.47962641777774,28.880525588989254,180814000,-0.0013959450955118857,0
